city,city_ascii,state_id,state_name,lat,lng
New York,New York,NY,New York,40.6943,-73.9249
Los Angeles,Los Angeles,CA,California,34.1141,-118.4068
Chicago,Chicago,IL,Illinois,41.8375,-87.6866
Miami,Miami,FL,Florida,25.784,-80.2101
Houston,Houston,TX,Texas,29.786,-95.3885
Dallas,Dallas,TX,Texas,32.7935,-96.7667
Philadelphia,Philadelphia,PA,Pennsylvania,40.0077,-75.1339
Atlanta,Atlanta,GA,Georgia,33.7628,-84.422
Washington,Washington,DC,District of Columbia,38.9047,-77.0163
Boston,Boston,MA,Massachusetts,42.3188,-71.0852
Phoenix,Phoenix,AZ,Arizona,33.5722,-112.0892
Detroit,Detroit,MI,Michigan,42.3834,-83.1024
Seattle,Seattle,WA,Washington,47.6211,-122.3244
San Francisco,San Francisco,CA,California,37.7558,-122.4449
San Diego,San Diego,CA,California,32.8313,-117.1222
Tampa,Tampa,FL,Florida,27.9945,-82.4447
Minneapolis,Minneapolis,MN,Minnesota,44.9635,-93.2678
Brooklyn,Brooklyn,NY,New York,40.6501,-73.9496
Denver,Denver,CO,Colorado,39.762,-104.8758
Queens,Queens,NY,New York,40.7498,-73.7976
Riverside,Riverside,CA,California,33.9381,-117.3949
Las Vegas,Las Vegas,NV,Nevada,36.2333,-115.2654
Baltimore,Baltimore,MD,Maryland,39.3051,-76.6144
St. Louis,St. Louis,MO,Missouri,38.6359,-90.2451
Portland,Portland,OR,Oregon,45.5371,-122.65
San Antonio,San Antonio,TX,Texas,29.4632,-98.5238
Sacramento,Sacramento,CA,California,38.5677,-121.4685
Orlando,Orlando,FL,Florida,28.4773,-81.337
Austin,Austin,TX,Texas,30.3005,-97.7522
San Jose,San Jose,CA,California,37.3012,-121.848
San Juan,San Juan,PR,Puerto Rico,18.3985,-66.061
Indianapolis,Indianapolis,IN,Indiana,39.7771,-86.1458
Pittsburgh,Pittsburgh,PA,Pennsylvania,40.4397,-79.9763
Cincinnati,Cincinnati,OH,Ohio,39.1413,-84.506
Kansas City,Kansas City,MO,Missouri,39.1238,-94.5541
Cleveland,Cleveland,OH,Ohio,41.4764,-81.6805
Manhattan,Manhattan,NY,New York,40.7834,-73.9662
Columbus,Columbus,OH,Ohio,39.9862,-82.9855
Charlotte,Charlotte,NC,North Carolina,35.2083,-80.8303
Bronx,Bronx,NY,New York,40.8501,-73.8662
Virginia Beach,Virginia Beach,VA,Virginia,36.7335,-76.0435
Jacksonville,Jacksonville,FL,Florida,30.3322,-81.6749
Providence,Providence,RI,Rhode Island,41.823,-71.4187
Milwaukee,Milwaukee,WI,Wisconsin,43.0642,-87.9675
Nashville,Nashville,TN,Tennessee,36.1715,-86.7842
Salt Lake City,Salt Lake City,UT,Utah,40.7776,-111.9311
Raleigh,Raleigh,NC,North Carolina,35.8324,-78.6429
Richmond,Richmond,VA,Virginia,37.5295,-77.4756
Memphis,Memphis,TN,Tennessee,35.1087,-89.9663
Oklahoma City,Oklahoma City,OK,Oklahoma,35.4676,-97.5136
Hartford,Hartford,CT,Connecticut,41.7661,-72.6834
Louisville,Louisville,KY,Kentucky,38.1663,-85.6485
Fort Worth,Fort Worth,TX,Texas,32.7817,-97.3474
Bridgeport,Bridgeport,CT,Connecticut,41.1918,-73.1954
Buffalo,Buffalo,NY,New York,42.9018,-78.8487
New Orleans,New Orleans,LA,Louisiana,30.0687,-89.9288
Tucson,Tucson,AZ,Arizona,32.1541,-110.8787
El Paso,El Paso,TX,Texas,31.8476,-106.43
Omaha,Omaha,NE,Nebraska,41.2627,-96.0529
McAllen,McAllen,TX,Texas,26.2252,-98.2467
Birmingham,Birmingham,AL,Alabama,33.5279,-86.7971
Albuquerque,Albuquerque,NM,New Mexico,35.1054,-106.6465
Tulsa,Tulsa,OK,Oklahoma,36.1283,-95.9042
Charleston,Charleston,SC,South Carolina,32.8168,-79.9687
Fresno,Fresno,CA,California,36.783,-119.7939
Rochester,Rochester,NY,New York,43.168,-77.6162
Cape Coral,Cape Coral,FL,Florida,26.6443,-81.9957
Dayton,Dayton,OH,Ohio,39.7805,-84.2003
Baton Rouge,Baton Rouge,LA,Louisiana,30.442,-91.1311
Mission Viejo,Mission Viejo,CA,California,33.6096,-117.6551
Allentown,Allentown,PA,Pennsylvania,40.5961,-75.4756
Colorado Springs,Colorado Springs,CO,Colorado,38.8674,-104.7605
Provo,Provo,UT,Utah,40.2457,-111.6457
Ogden,Ogden,UT,Utah,41.2279,-111.9682
Knoxville,Knoxville,TN,Tennessee,35.9692,-83.9496
Grand Rapids,Grand Rapids,MI,Michigan,42.9619,-85.6562
Columbia,Columbia,SC,South Carolina,34.0378,-80.9036
Albany,Albany,NY,New York,42.6664,-73.7987
Des Moines,Des Moines,IA,Iowa,41.5725,-93.6105
New Haven,New Haven,CT,Connecticut,41.3113,-72.9246
Bakersfield,Bakersfield,CA,California,35.3529,-119.0359
Palm Bay,Palm Bay,FL,Florida,27.9631,-80.6593
Akron,Akron,OH,Ohio,41.0798,-81.5219
Concord,Concord,CA,California,37.9722,-122.0016
Wichita,Wichita,KS,Kansas,37.6895,-97.3443
Mesa,Mesa,AZ,Arizona,33.4015,-111.7178
Harrisburg,Harrisburg,PA,Pennsylvania,40.2752,-76.8843
Worcester,Worcester,MA,Massachusetts,42.2705,-71.8079
Staten Island,Staten Island,NY,New York,40.5834,-74.1496
Toledo,Toledo,OH,Ohio,41.6638,-83.5827
Port St. Lucie,Port St. Lucie,FL,Florida,27.2796,-80.3884
Madison,Madison,WI,Wisconsin,43.0822,-89.393
Kissimmee,Kissimmee,FL,Florida,28.3041,-81.4169
Reno,Reno,NV,Nevada,39.5497,-119.8483
Little Rock,Little Rock,AR,Arkansas,34.7256,-92.3577
Denton,Denton,TX,Texas,33.2175,-97.1418
Spokane,Spokane,WA,Washington,47.6671,-117.433
Long Beach,Long Beach,CA,California,33.7977,-118.167
Bonita Springs,Bonita Springs,FL,Florida,26.3558,-81.7859
Boise,Boise,ID,Idaho,43.6005,-116.2308
Winston-Salem,Winston-Salem,NC,North Carolina,36.1029,-80.261
Oakland,Oakland,CA,California,37.7904,-122.2166
Augusta,Augusta,GA,Georgia,33.3645,-82.0708
Springfield,Springfield,MA,Massachusetts,42.1155,-72.5395
Durham,Durham,NC,North Carolina,35.9792,-78.9022
Pensacola,Pensacola,FL,Florida,30.4413,-87.1911
Chattanooga,Chattanooga,TN,Tennessee,35.066,-85.2481
Stockton,Stockton,CA,California,37.9765,-121.3109
Fayetteville,Fayetteville,AR,Arkansas,36.0714,-94.1661
Lancaster,Lancaster,PA,Pennsylvania,40.042,-76.3012
Greenville,Greenville,SC,South Carolina,34.8354,-82.3646
Syracuse,Syracuse,NY,New York,43.0407,-76.1437
Arlington,Arlington,TX,Texas,32.6998,-97.125
Aurora,Aurora,CO,Colorado,39.7083,-104.7237
Trenton,Trenton,NJ,New Jersey,40.2237,-74.7641
Oxnard,Oxnard,CA,California,34.1964,-119.1815
Huntsville,Huntsville,AL,Alabama,34.6981,-86.6412
Indio,Indio,CA,California,33.7346,-116.2346
Scranton,Scranton,PA,Pennsylvania,41.4044,-75.6649
Victorville,Victorville,CA,California,34.5277,-117.3536
Modesto,Modesto,CA,California,37.6375,-121.0028
Myrtle Beach,Myrtle Beach,SC,South Carolina,33.7094,-78.8844
Honolulu,Honolulu,HI,Hawaii,21.3294,-157.846
Anaheim,Anaheim,CA,California,33.839,-117.8574
Greensboro,Greensboro,NC,North Carolina,36.0956,-79.8271
Corpus Christi,Corpus Christi,TX,Texas,27.7254,-97.3767
Fort Wayne,Fort Wayne,IN,Indiana,41.0888,-85.1436
Fort Collins,Fort Collins,CO,Colorado,40.5477,-105.0656
Antioch,Antioch,CA,California,37.9787,-121.796
Jackson,Jackson,MS,Mississippi,32.3157,-90.2125
Henderson,Henderson,NV,Nevada,36.0133,-115.0381
Lansing,Lansing,MI,Michigan,42.7142,-84.5601
Fayetteville,Fayetteville,NC,North Carolina,35.085,-78.9772
Savannah,Savannah,GA,Georgia,32.0286,-81.1821
Lexington,Lexington,KY,Kentucky,38.0423,-84.4587
Ann Arbor,Ann Arbor,MI,Michigan,42.2759,-83.731
Poughkeepsie,Poughkeepsie,NY,New York,41.695,-73.9211
Mobile,Mobile,AL,Alabama,30.6782,-88.1162
Youngstown,Youngstown,OH,Ohio,41.0993,-80.6463
Santa Ana,Santa Ana,CA,California,33.7367,-117.8819
Irvine,Irvine,CA,California,33.6772,-117.7738
Newark,Newark,NJ,New Jersey,40.7245,-74.1725
St. Paul,St. Paul,MN,Minnesota,44.9478,-93.1039
Winter Haven,Winter Haven,FL,Florida,28.0118,-81.7014
Springfield,Springfield,MO,Missouri,37.1943,-93.2916
Concord,Concord,NC,North Carolina,35.3933,-80.6369
Lincoln,Lincoln,NE,Nebraska,40.8099,-96.6784
Flint,Flint,MI,Michigan,43.0236,-83.6921
Asheville,Asheville,NC,North Carolina,35.5707,-82.5537
Jersey City,Jersey City,NJ,New Jersey,40.7184,-74.0686
Santa Rosa,Santa Rosa,CA,California,38.4458,-122.7067
Plano,Plano,TX,Texas,33.0502,-96.7486
Lakeland,Lakeland,FL,Florida,28.0557,-81.9545
Anchorage,Anchorage,AK,Alaska,61.1508,-149.1091
Canton,Canton,OH,Ohio,40.8078,-81.3676
Wilmington,Wilmington,NC,North Carolina,34.2099,-77.8866
Lubbock,Lubbock,TX,Texas,33.5657,-101.8879
Reading,Reading,PA,Pennsylvania,40.34,-75.9267
Davenport,Davenport,IA,Iowa,41.5565,-90.6053
Gilbert,Gilbert,AZ,Arizona,33.31,-111.7463
Chandler,Chandler,AZ,Arizona,33.2825,-111.8514
South Bend,South Bend,IN,Indiana,41.6767,-86.2696
North Las Vegas,North Las Vegas,NV,Nevada,36.2883,-115.0888
Chula Vista,Chula Vista,CA,California,32.6281,-117.0144
Shreveport,Shreveport,LA,Louisiana,32.4653,-93.7955
Eugene,Eugene,OR,Oregon,44.0564,-123.1174
Rockford,Rockford,IL,Illinois,42.2596,-89.064
Santa Clarita,Santa Clarita,CA,California,34.4175,-118.4964
Salem,Salem,OR,Oregon,44.9233,-123.0244
Round Lake Beach,Round Lake Beach,IL,Illinois,42.3791,-88.0811
Killeen,Killeen,TX,Texas,31.0753,-97.7297
St. Petersburg,St. Petersburg,FL,Florida,27.7931,-82.6652
Tallahassee,Tallahassee,FL,Florida,30.4551,-84.2527
